Type,Built,Status,Company,Group Company,Operator,Builder,Flag State,SOx Scrubber Status,Power Type,Current Global Zone,Current National Waters,Name,GT,Dwt,MMSI (Maritime Mobile Service Identity),IMO Number,Speed (knots),Engine Derived Total Main Engine Mechanical kW
Pass./Car Ferry,2002,In Service,Minoan Lines,Grimaldi Group,Minoan Lines,Fincantieri Sestri,Greece,Fitted,Diesel 4-Stroke,Mediterranean / Black Sea,,Festos Palace,"36,825","7,386",241617000,9220342,31.50,"67,200"
Ro-Ro Freight/Passenger,1997,In Service,La Meridionale,CMA CGM,La Meridionale,Navali Visentini,France,Fitted,Diesel 4-Stroke,Mediterranean / Black Sea,Cyprus,Pelagos,"21,856","7,115",228393700,9136034,24.00,"6,560"
Fully Cellular Container,2015,In Service,MSC,MSC,MSC,STX SB (Goseong),Liberia,Fitted,Diesel 2-Stroke,West Coast North America,,MSC Istanbul,"176,490","186,649",636017537,9606326,23.00,"59,784"
Pure Car Carrier,2013,In Service,Hyundai Glovis,Hyundai Motor Group,Hyundai Glovis,Hyundai Samho HI,South Korea,Fitted,Diesel 2-Stroke,East Asia,South Korea,Glovis Superior,"64,650","20,138",441156000,9674189,20.05,"13,070"
Chemical & Oil Carrier,2020,In Service,Scorpio Tankers,Scorpio Group,Scorpio Tankers,Hyundai Vietnam SB,Marshall Is.,Fitted,Diesel 2-Stroke,West Coast North America,Mexico,STI Maestro,"29,991","47,499",538010457,9854727,14.45,"7,180"
Fully Cellular Container,2000,Repairs,MSC,MSC,MSC,Warnowwerft,Liberia,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,MSC Tavvishi,"66,526","67,902",636016978,9189366,25.30,"54,900"
Bulk Carrier,2012,In Service,Seanergy Maritime,Seanergy Maritime,Seanergy Maritime,Koyo Dock,Liberia,Fitted,Diesel 2-Stroke,South East Asia,,Paroship,"92,752","181,415",636022566,9614880,15.38,"18,660"
Fully Cellular Container,2013,In Service,OOCL,China COSCO Shipping,OOCL,Samsung HI,Hong Kong,Fitted,Diesel 2-Stroke,East Coast Africa,,OOCL France,"141,003","143,521",477222700,9622617,23.00,"54,200"
Chip Carrier,1998,In Service,Nova Shpg & Log,Royal Golden Eagle,Nova Shpg & Log,Imabari SB Marugame,Panama,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Condor Express,"40,245","49,970",356796000,9184902,14.35,"8,252"
Fully Cellular Container,1992,In Service,Matson Inc,Matson Inc,Matson Inc,NASSCO,United States,Fitted,Diesel 2-Stroke,West Coast North America,,R.J. Pfeiffer,"31,573","28,555",366576000,9002037,22.50,"22,768"
Ro-Ro/Container,2008,In Service,Grimaldi Group,Grimaldi Group,Grimaldi Group,Uljanik Brod.,Italy,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Italy,Grande Angola,"47,115","26,881",247233800,9343156,21.30,"19,042"
Bulk Carrier,2011,In Service,Everest Shpg,Jiangsu Shagang,Everest Shpg,Jinhai Heavy Ind,Liberia,Fitted,Diesel 2-Stroke,East Asia,,ESL Seal,"91,971","175,851",636019379,9598701,14.90,"16,860"
Ore Carrier,2010,In Service,NYK Line,NYK Line,Vale,Nantong COSCO KHI,Panama,Fitted,Diesel 2-Stroke,East Coast South America,Brazil,Ore Amazonas,"152,311","297,978",357443000,9565534,14.50,"22,360"
Bulk Carrier,2004,In Service,Navitas Cia. Mar.,Navitas Cia. Mar.,Navitas Cia. Mar.,Imabari SB Saijo,Marshall Is.,Fitted,Diesel 2-Stroke,West Coast North America,,Panda,"90,091","180,181",538009966,9296212,14.50,"18,660"
Fully Cellular Container,2013,In Service,APL,CMA CGM,CMA CGM,Hyundai Samho HI,Singapore,Fitted,Diesel 2-Stroke,West Coast Africa,,APL Lion City,"166,253","177,380",566880000,9631967,23.00,"63,910"
Chemical & Oil Carrier,2020,In Service,Reederei Nord,Reederei Nord,Maersk Tankers,Samsung HI,Madeira,Fitted,Diesel 2-Stroke,East Coast North America,,Nordtokyo,"30,087","50,192",255817000,9859208,13.50,"6,875"
Cruise Ship,2004,In Service,Holland America Line,Carnival Corporation,Holland America Line,Fincantieri Marghera,Netherlands,Fitted,Diesel Electric,Australasia,New Zealand,Westerdam,"82,348","10,965",244128000,9226891,22.00,"65,840"
Fully Cellular Container,1999,In Service,Hans Peter Wegener,Hans Peter Wegener,Containerships PLC,J. J. Sietas,Germany,Fitted,Diesel 4-Stroke,United Kingdom/Continent,,Containerships VI,"9,953","11,660",211315100,9188518,20.50,"14,482"
Tanker,2013,In Service,Mitsui OSK Lines,Mitsui OSK Lines,,MHI Nagasaki,Japan,Fitted,Diesel 2-Stroke,Middle East,Qatar,Horaisan,"160,057","305,301",431756000,9607875,17.10,"27,020"
Fully Cellular Container,2014,In Service,PIL,PIL,PIL,Dalian Shipbuilding,Singapore,Fitted,Diesel 2-Stroke,West Coast Africa,Ghana,Kota Sabas,"41,567","51,567",564639000,9645451,19.20,"21,130"
Tanker,2020,In Service,Bahri,Bahri,Bahri,Hyundai HI (Ulsan),Saudi Arabia,Fitted,Diesel 2-Stroke,West Coast Africa,,Samha,"154,499","299,999",403701000,9858450,15.00,"24,500"
Fully Cellular Container,2001,In Service,Evergreen Marine,Evergreen Marine,Evergreen Marine,MHI Kobe,Italy,Fitted,Diesel 2-Stroke,East Coast Africa,,Ital Unica,"69,246","63,216",247012800,9196981,25.00,"48,630"
Bulk Carrier,2012,In Service,Zodiac Maritime,Zodiac Maritime,,Koyo Dock,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Cape Eagle,"92,758","181,529",636017448,9624469,17.40,"18,660"
Chemical & Oil Carrier,2012,In Service,Unknown,Unknown,,Hyundai Mipo,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,,Vesta,"29,785","49,980",538004534,9629938,15.20,"8,890"
Fully Cellular Container,2008,In Service,HMM,HMM,HMM,Hyundai HI (Ulsan),Marshall Is.,Fitted,Diesel 2-Stroke,West Coast Africa,,Hyundai Brave,"94,511","99,052",538007477,9346304,27.00,"80,080"
Fully Cellular Container,1996,In Service,Unknown,Unknown,MSC,Hyundai HI (Ulsan),Panama,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,,MSC Dymphna,"64,054","68,363",373517000,9110391,25.60,"54,809"
Fully Cellular Container,2007,In Service,Goldenport Shipmgmt,Goldenport Shipmgmt,Maersk,Hyundai Mipo,Liberia,Fitted,Diesel 2-Stroke,East Coast South America,Argentina,San Alberto,"22,914","28,187",636020192,9344643,21.70,"19,620"
Bulk Carrier,2013,In Service,Niki Shpg Co Inc,Niki Shpg Co Inc,MSC,STX Dalian,Panama,Pending,Diesel 2-Stroke,Australasia,Australia,MSC Magali,"62,704","104,229",356440000,9625932,14.50,"14,280"
Bulk Carrier,2007,In Service,NASCO,Nanjing Jianghai,NASCO,Tsuneishi Zosen,Panama,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,AC Youth,"42,887","82,623",352003316,9401506,14.50,"11,620"
Fully Cellular Container,2006,Repairs,OM Maritime,OM Maritime,SeaLead Shipping,HHIC (Yeongdo),Liberia,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Pumba,"54,214","67,550",636021329,9302566,24.30,"41,130"
Chemical Parcel Tanker,2011,In Service,Koyo Kaiun,Koyo Kaiun,Koyo Kaiun,Asakawa Shipbuilding,Panama,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,Yelena,"7,328","12,062",370813000,9613616,13.90,"4,440"
Fully Cellular Container,2020,In Service,HMM,HMM,HMM,Samsung HI,South Korea,Fitted,Diesel 2-Stroke,South East Asia,,HMM Rotterdam,"232,311","229,039",440328000,9868338,22.38,"59,600"
Cruise Ship,2003,In Service,Celestyal Cruise,Celestyal Cruise,Celestyal Cruise,Aker MTW Werft,Malta,Pending,Diesel Electric,Mediterranean / Black Sea,Greece,Celestyal Discovery,"42,289","4,157",256667000,9221566,20.00,"27,400"
Bulk Carrier,2008,In Service,Centauri Shpmngt,Centauri Shpmngt,Centauri Shpmngt,Jiangsu Rongsheng,Panama,Pending,Diesel 2-Stroke,Middle East,Jordan,Ice II,"42,785","75,750",352002271,9401362,14.50,"11,300"
Ore Carrier,2012,In Service,Mitsui OSK Lines,Mitsui OSK Lines,Vale,Universal SB Ariake,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Ore Sao Luis,"151,105","297,076",636015575,9607033,17.40,"22,700"
Fully Cellular Container,2014,In Service,PIL,PIL,PIL,Dalian Shipbuilding,Singapore,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Kota Satria,"41,567","50,800",565334000,9645487,19.20,"21,130"
Chemical & Oil Carrier,2020,Repairs,Union Maritime,Union Maritime,,Hyundai Mipo,Singapore,Fitted,Diesel 2-Stroke,West Coast Africa,Senegal,Witham,"29,917","49,999",563215400,9865764,14.50,"7,180"
Fully Cellular Container,1998,In Service,MSC,MSC,MSC,Flender Werft,Madeira,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Italy,MSC Masha 3,"21,583","30,029",255806109,9188219,20.00,"12,239"
Bulk Carrier,2021,In Service,CDB Leasing,China Dev Bank (CDB),RWE,COSCO HI (Yangzhou),Hong Kong,Fitted,Diesel 2-Stroke,East Coast Africa,,Shandong Happiness,"108,559","210,938",477736100,9910789,14.50,"15,650"
Fully Cellular Container,2015,In Service,MSC,MSC,MSC,Weihai Samjin SY,Madeira,Pending,Diesel 2-Stroke,United Kingdom/Continent,France,MSC Guernsey,"48,438","60,149",255806368,9631876,21.00,"27,060"
Fully Cellular Container,2007,In Service,XT Shipping,XT Group,Maersk,HHIC (Yeongdo),Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,Togo,Shijing,"54,675","68,463",636021320,9348663,24.30,"41,130"
Ro-Ro/Container,1998,In Service,Grimaldi Group,Grimaldi Group,Grimaldi Group,Fincantieri Castell,Italy,Fitted,Diesel 2-Stroke,United Kingdom/Continent,Belgium,Grande Europa,"51,714","18,461",247206000,9138381,21.00,"13,010"
Fully Cellular Container,2008,In Service,MSC,MSC,MSC,Shanghai Shipyard,Liberia,Pending,Diesel 2-Stroke,South East Asia,Indonesia,MSC Ameera III,"36,007","42,011",636022078,9346017,23.50,"31,990"
Pure Car Carrier,2013,In Service,Excel Marine,Hakuyo Shpg,Eukor Car Carriers,Imabari SB Marugame,Panama,Fitted,Diesel 2-Stroke,East Asia,,Morning Calypso,"59,432","18,932",351628000,9638460,15.40,"13,260"
Bulk Carrier,2010,In Service,Eastmed,Eastmed,Eastmed,Tsuneishi Cebu,Malta,Fitted,Diesel 2-Stroke,West Coast Africa,Morocco,Stavros,"32,296","57,982",215468000,9425875,12.50,"8,285"
Fully Cellular Container,2006,In Service,MSC,MSC,MSC,Hyundai HI (Ulsan),Liberia,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,,MSC Anahita,"68,570","71,270",,9302085,25.00,"58,820"
Bulk Carrier,2014,In Service,U-Ming Marine,Far Eastern Group,U-Ming Marine,Shanghai Waigaoqiao,Singapore,Fitted,Diesel 2-Stroke,Australasia,,Cape Splendor,"106,816","206,070",563771000,9631333,14.00,"19,620"
Fully Cellular Container,2000,In Service,MSC,MSC,MSC,Hyundai HI (Ulsan),Liberia,Pending,Diesel 2-Stroke,East Coast North America,,MSC Alma VII,"71,340","81,094",636022116,9196852,25.00,"57,160"
Tanker,2003,In Service,Anchor Elite,Anchor Elite,Anchor Elite,Hyundai HI (Ulsan),Barbados,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Russia,Arabela,"57,680","105,665",314990000,9253313,12.00,"11,327"
Tanker,2009,In Service,Sinokor Merchant,Sinokor Merchant,Sinokor Merchant,SCS Shipbuilding,Marshall Is.,Fitted,Diesel 2-Stroke,Indian Subcontinent,,Plata North,"156,651","297,936",538003542,9384605,15.40,"25,485"
Bulk Carrier,2020,In Service,Shandong Shipping,Shandong Marine,Bunge Limited,COSCO HI (Yangzhou),Marshall Is.,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Soya Tianjin,"44,103","80,780",538008993,9883754,14.10,"9,932"
Bulk Carrier,2013,In Service,Navios MLP,Navios Holdings,Navios MLP,Koyo Dock,Cyprus,Fitted,Diesel 2-Stroke,South East Asia,Philippines,Navios Joy,"92,722","181,389",212608000,9664873,17.90,"16,700"
Bulk Carrier,2021,In Service,Olive Shpmngt,Olive Shpmngt,Olive Shpmngt,Nantong Xiangyu SOE,Marshall Is.,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,,Aquavita Evolution,"44,278","80,916",538008933,9880489,12.00,"9,932"
Fully Cellular Container,2000,In Service,MSC,MSC,MSC,Hyundai HI (Ulsan),Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,MSC Michigan VII,"74,583","81,574",636021994,9196864,25.00,"57,160"
Bulk Carrier,2023,In Service,Densay Shipping,Densay Group,Densay Shipping,Nantong Xiangyu SOE,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast South America,Argentina,SSI Interceptor,"35,846","63,896",538009353,9919008,13.50,"7,300"
Fully Cellular Container,2013,In Service,APL,CMA CGM,CMA CGM,Hyundai Samho HI,Singapore,Fitted,Diesel 2-Stroke,West Coast Africa,,APL Temasek,"166,253","177,380",566796000,9631955,23.00,"63,910"
Chemical Parcel Tanker,2008,In Service,Stolt Tankers BV,Stolt-Nielsen,Stolt Tankers BV,Aker Floroe,Cayman Islands,Fitted,Diesel 2-Stroke,West Coast Africa,,Stolt Sagaland,"25,841","44,044",319282000,9352200,15.00,"11,620"
Fully Cellular Container,1997,In Service,MSC,MSC,MSC,Hyundai HI (Ulsan),Liberia,Fitted,Diesel 2-Stroke,East Coast South America,,MSC Yuvika V,"53,324","63,523",636022022,9141285,24.50,"40,452"
Fully Cellular Container,2008,In Service,KMTC,KMTC,KMTC,Hyundai HI (Ulsan),South Korea,Fitted,Diesel 2-Stroke,Indian Subcontinent,,KMTC Mundra,"74,962","80,855",441266000,9347449,25.00,"68,666"
Ro-Ro/Lo-Lo,2000,In Service,G-Ships Ltd,G-Ships Ltd,G-Ships Ltd,Santierul Naval,Canada,Fitted,Diesel 4-Stroke,East Coast North America,Canada,Nolhan Ava,"4,654","4,850",316036132,9208435,16.00,"5,760"
Fully Cellular Container,2014,In Service,CMA CGM,CMA CGM,CMA CGM,Dalian Shipbuilding,Malta,Fitted,Diesel 2-Stroke,East Asia,,APL Danube,"95,263","113,800",229726000,9674517,22.00,"47,430"
Fully Cellular Container,2006,In Service,MSC,MSC,MSC,Daewoo (DSME),Panama,Fitted,Diesel 2-Stroke,West Coast Africa,,MSC Heidi,"94,489","107,895",372008000,9309473,25.00,"68,490"
Fully Cellular Container,2020,In Service,Yang Ming,Yang Ming,Yang Ming,CSBC (Kaohsiung),Liberia,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,YM Celebrity,"32,720","37,435",636019892,9864502,21.00,"20,500"
Multi-Purpose,2000,In Service,Wijnne Barends,Spliethoff,UPM,Niestern Sander,Netherlands,Fitted,Diesel 4-Stroke,United Kingdom/Continent,,Lady Christina,"4,235","5,375",244003000,9201815,15.50,"2,879"
Tanker,2009,In Service,Delta Tankers,Marmaras Navigation,Delta Tankers,Hyundai Samho HI,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Delta Sky,"84,716","166,092",636014185,9410181,15.20,"18,660"
Bulk Carrier,2009,Idle,Cardiff Marine,Cardiff Marine,,Hudong Zhonghua,Malta,Fitted,Diesel 2-Stroke,East Asia,,Amalfi,"40,170","75,206",248605000,9465801,14.00,"11,300"
Bulk Carrier,2019,In Service,Thenamaris Conbulk,Thenamaris,Thenamaris Conbulk,Tsuneishi Zosen,Malta,Fitted,Diesel 2-Stroke,East Coast Africa,,Seagem,"43,232","81,714",215434000,9758375,13.50,"9,600"
Fully Cellular Container,2014,In Service,HMM,HMM,HMM,Daewoo (DSME),South Korea,Fitted,Diesel 2-Stroke,West Coast North America,,HMM Victory,"141,868","145,966",441754000,9637258,23.04,"58,100"
Fully Cellular Container,1998,In Service,MSC,MSC,MSC,Samsung HI,Liberia,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,MSC Paola,"37,579","42,960",636018318,9161297,23.30,"28,368"
Multi-Purpose/Heavy Lift Cargo,2000,In Service,Spliethoff,Spliethoff,Spliethoff,Tsuneishi Zosen,Netherlands,Fitted,Diesel 4-Stroke,East Coast North America,United States,Spaarnegracht,"16,641","21,402",246452000,9202558,17.00,"12,062"
Cruise Ship,2003,In Service,Carnival Cruise Line,Carnival Corporation,Carnival Cruise Line,Fincantieri Monfalco,Panama,Fitted,Diesel Electric,East Coast North America,,Carnival Glory,"110,480","11,100",357659000,9198367,19.60,"63,365"
Bulk Carrier,2020,In Service,Shandong Shipping,Shandong Marine,RWE,Shanghai Waigaoqiao,Marshall Is.,Fitted,Diesel 2-Stroke,Australasia,,Shandong De Long,"94,674","180,727",538009030,9872066,14.50,"15,748"
Chemical Parcel Tanker,2008,In Service,Stolt Tankers BV,Stolt-Nielsen,Stolt Tankers BV,Aker Floroe,Cayman Islands,Fitted,Diesel 2-Stroke,West Coast Africa,,Stolt Sneland,"25,841","44,080",319627000,9352212,15.00,"11,620"
Ro-Ro/Container,1999,In Service,Grimaldi Group,Grimaldi Group,Grimaldi Group,Fincantieri Castell,Italy,Fitted,Diesel 2-Stroke,United Kingdom/Continent,Belgium,Gran Bretagna,"51,714","18,360",247290000,9143702,21.00,"15,548"
Bulk Carrier,2011,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Sungdong SB,Hong Kong,Fitted,Diesel 2-Stroke,East Coast Africa,,Solar Icon,"93,196","179,322",477234600,9569803,15.00,"18,660"
Fully Cellular Container,2000,In Service,MSC,MSC,MSC,Odense Lindo,Liberia,Fitted,Diesel 2-Stroke,East Asia,,MSC Chiara X,"90,560","104,696",636022660,9198587,24.00,"54,900"
Cruise Ship,2016,In Service,Holland America Line,Carnival Corporation,Holland America Line,Fincantieri Marghera,Netherlands,Fitted,Diesel Electric,West Coast South America,French Polynesia,Koningsdam,"99,836","9,480",244830547,9692557,23.00,"48,000"
Fully Cellular Container,2007,In Service,Maersk,A.P. Moller,Maersk,I.H.I. (Kure),Singapore,Fitted,Diesel 2-Stroke,East Coast Africa,,Maersk Sofia,"94,724","97,550",563001200,9308637,24.50,"61,900"
Tanker,2020,In Service,Capital Ship Mgmt,Capital Maritime,Petrobras,Daehan Shipbuilding,Marshall Is.,Fitted,Diesel 2-Stroke,South East Asia,,Aitolos,"62,826","115,521",538008713,9867619,14.50,"13,520"
Multi-Purpose/Heavy Lift Cargo,2000,In Service,Spliethoff,Spliethoff,Spliethoff,MHI Shimonoseki,Netherlands,Fitted,Diesel 4-Stroke,East Coast North America,United States,Snoekgracht,"16,641","21,402",245816000,9202546,17.00,"12,062"
Bulk Carrier,2010,In Service,Pacific Rim,Spring Valley SH,Pacific Rim,Dalian Shipbuilding,Singapore,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Mandy,"94,710","180,371",563232500,9582831,14.50,"18,651"
Tanker,2008,In Service,Dynacom Tankers Mgmt,Dynacom,Dynacom Tankers Mgmt,Hyundai HI (Ulsan),Liberia,Fitted,Diesel 2-Stroke,South East Asia,Singapore,Eliza,"160,836","299,999",636013372,9387578,16.00,"29,340"
Bulk Carrier,2008,In Service,Cardiff Marine,Cardiff Marine,Cardiff Marine,Shanghai Waigaoqiao,Malta,Fitted,Diesel 2-Stroke,West Coast Africa,,Malindi,"91,373","177,987",256924000,9363015,14.50,"16,860"
Bulk Carrier,2014,In Service,Minerva Marine,Minerva Marine,Minerva Marine,SCS Shipbuilding,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Schinousa,"91,374","176,247",636022238,9662409,15.00,"16,860"
Fully Cellular Container,1999,In Service,MSC,MSC,MSC,Odense Lindo,Liberia,Fitted,Diesel 2-Stroke,West Coast North America,Panama,MSC Ellen,"91,560","104,750",636020729,9166780,24.00,"54,900"
Multi-Purpose,1999,In Service,Rord Braren,Rord Braren,Rord Braren,Peterswerft Wewels,Germany,Fitted,Diesel 4-Stroke,United Kingdom/Continent,,Timbus,"4,230","6,389",211317180,9198680,15.00,"3,840"
Cruise Ship,2003,In Service,Cunard Line,Carnival Corporation,Cunard Line,Ch. de l'Atlantique,Bermuda,Fitted,Diesel Electric,East Coast North America,,Queen Mary 2,"149,215","19,189",310627000,9241061,24.00,"117,120"
Bulk Carrier,2019,In Service,Capital Ship Mgmt,Capital Maritime,Capital Ship Mgmt,Chengxi Shipyard,Marshall Is.,Fitted,Diesel 2-Stroke,East Asia,Japan,Amemptos,"44,103","81,107",538008507,9867140,14.00,"9,930"
Bulk Carrier,2010,In Service,Genco Shpg & Trading,Genco Shpg & Trading,Genco Shpg & Trading,Shanghai Waigaoqiao,Marshall Is.,Fitted,Diesel 2-Stroke,East Asia,,Baltic Bear,"91,373","177,700",538003402,9469259,14.50,"16,848"
Tanker,2008,Storage,Torino Ship Mngt,Torino Ship Mngt,Torino Ship Mngt,Samsung HI,San Marino,Fitted,Diesel 2-Stroke,South East Asia,,Ayden,"163,257","319,994",268252101,9365764,15.00,"29,346"
Ro-Ro/Container,2011,In Service,Liberty Maritime,Liberty Maritime,Liberty Maritime,Daewoo (DSME),United States,Fitted,Diesel 2-Stroke,East Coast North America,,Liberty Power,"50,720","46,635",366599000,9578957,21.50,"22,890"
Fully Cellular Container,2000,In Service,MSC,MSC,MSC,Odense Lindo,Liberia,Pending,Diesel 2-Stroke,Mediterranean / Black Sea,Spain,MSC Nicole X,"90,560","104,696",636022661,9214898,24.00,"54,900"
Bulk Carrier,2014,Idle,NS United KK,NYK Line,,Imabari SB Saijo,Japan,Fitted,Diesel 2-Stroke,East Coast North America,Canada,NSU Obelisk,"107,222","207,819",431113000,9675664,17.00,"19,620"
Tanker,2006,Idle,Sino Marine UK,Sino Marine UK,,Daewoo (DSME),Panama,Fitted,Diesel 2-Stroke,East Coast South America,Brazil,Tamia,"157,844","306,507",352002480,9315642,15.00,"28,700"
Bulk Carrier,2020,In Service,Shandong Shipping,Shandong Marine,RWE,Shanghai Waigaoqiao,Marshall Is.,Fitted,Diesel 2-Stroke,West Coast Africa,,Shandong De Rui,"94,674","180,613",538008986,9872042,14.50,"15,748"
Chemical & Oil Carrier,2009,In Service,TORM A/S,TORM A/S,TORM A/S,GSI Liwan,Danish Int'l,Fitted,Diesel 2-Stroke,East Coast North America,United States,Torm Lotte,"29,283","52,996",220635000,9392468,15.00,"11,340"
Bulk Carrier,2010,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,Sungdong SB,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Star Despoina,"50,868","91,945",636020460,9450894,13.80,"10,900"
Tanker,2009,Idle,Cardiff Marine,Cardiff Marine,,Shanghai Waigaoqiao,Cayman Islands,Fitted,Diesel 2-Stroke,Middle East,United Arab Emirates,Scorpio,"58,418","106,850",319129600,9389071,14.60,"13,551"
Bulk Carrier,2007,In Service,Cardiff Marine,Cardiff Marine,Cardiff Marine,Shanghai Waigaoqiao,Liberia,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Madeira,"91,373","177,926",636022521,9355161,14.50,"16,860"
Pure Car Carrier,2013,In Service,Hyundai Glovis,Hyundai Motor Group,Hyundai Glovis,Hyundai Samho HI,South Korea,Fitted,Diesel 2-Stroke,East Coast North America,,Glovis Courage,"59,060","20,880",441168000,9651101,21.30,"13,570"
Reefer,1999,In Service,Seatrade Groningen,Seatrade Groningen,Seatrade Reefer,SK Kochi Jyuko,Netherlands,Fitted,Diesel 2-Stroke,East Coast North America,,Pacific Reefer,"14,505","17,322",246787000,9179268,20.00,"11,002"
Tanker,2009,In Service,Bahri,Bahri,Bahri,Hyundai Samho HI,Saudi Arabia,Fitted,Diesel 2-Stroke,Indian Subcontinent,,Dorra,"160,782","317,693",403509000,9386964,16.70,"33,600"
